Bar Diameter,Maximum bar length,Reinforcement Volume,Rebar Number,Mark,Total Bar Length,Quantity,Workset,Host Category,Host Mark,REBAR-PARTITION,WEIGHT IN KG,Style,Bend Diameter
8 mm,1135 mm,1483.00 cm³,1752,1644,29503 mm,26,STR-Model,Structural Framing,B 250X400,Beam,11.656372,Stirrup / Tie,64 mm
8 mm,1135 mm,456.31 cm³,1752,1644,9078 mm,8,STR-Model,Structural Framing,B 250X400,Beam,3.586576,Stirrup / Tie,64 mm
8 mm,1135 mm,798.54 cm³,1752,1644,15886 mm,14,STR-Model,Structural Framing,B 250X400,Beam,6.276508,Stirrup / Tie,64 mm
8 mm,1135 mm,1483.00 cm³,1752,1644,29503 mm,26,STR-Model,Structural Framing,B 250X400,Beam,11.656372,Stirrup / Tie,64 mm
8 mm,1135 mm,1597.08 cm³,1752,1644,31773 mm,28,STR-Model,Structural Framing,B 250X400,Beam,12.553016,Stirrup / Tie,64 mm
8 mm,1135 mm,456.31 cm³,1752,1644,9078 mm,8,STR-Model,Structural Framing,B 250X400,Beam,3.586576,Stirrup / Tie,64 mm
8 mm,1135 mm,1483.00 cm³,1752,1644,29503 mm,26,STR-Model,Structural Framing,B 250X400,Beam,11.656372,Stirrup / Tie,64 mm
8 mm,1135 mm,513.35 cm³,1752,1644,10213 mm,9,STR-Model,Structural Framing,B 250X400,Beam,4.034898,Stirrup / Tie,64 mm
8 mm,1135 mm,2680.81 cm³,1752,1644,53333 mm,47,STR-Model,Structural Framing,B 250X400,Beam,21.071134,Stirrup / Tie,64 mm
8 mm,1135 mm,1311.88 cm³,1999,1857,26099 mm,23,STR-Model,Structural Framing,TB1,Beam,10.311406,Stirrup / Tie,64 mm
8 mm,1135 mm,912.61 cm³,1999,1857,18156 mm,16,STR-Model,Structural Framing,TB1,Beam,7.173152,Stirrup / Tie,64 mm
8 mm,1135 mm,684.46 cm³,1999,1857,13617 mm,12,STR-Model,Structural Framing,TB1,Beam,5.379864,Stirrup / Tie,64 mm
8 mm,1135 mm,798.54 cm³,1999,1857,15886 mm,14,STR-Model,Structural Framing,TB1,Beam,6.276508,Stirrup / Tie,64 mm
8 mm,1135 mm,684.46 cm³,1999,1857,13617 mm,12,STR-Model,Structural Framing,TB1,Beam,5.379864,Stirrup / Tie,64 mm
8 mm,1135 mm,1368.92 cm³,1752,1644,27234 mm,24,STR-Model,Structural Framing,TB1,Beam,10.759728,Stirrup / Tie,64 mm
8 mm,1135 mm,3422.31 cm³,1968,1968,68085 mm,60,STR-Model,Structural Column,ST-C1 250x400x8275,Column,26.89932,Stirrup / Tie,64 mm
8 mm,1135 mm,3422.31 cm³,1968,1644,68085 mm,60,STR-Model,Structural Column,ST-C1 250x400x8275,Column,26.89932,Stirrup / Tie,64 mm
8 mm,1135 mm,3422.31 cm³,1968,1644,68085 mm,60,STR-Model,Structural Column,ST-C1 250x400x8275,Column,26.89932,Stirrup / Tie,64 mm
8 mm,1135 mm,3422.31 cm³,1968,1644,68085 mm,60,STR-Model,Structural Column,ST-C1 250x400x8275,Column,26.89932,Stirrup / Tie,64 mm
8 mm,1135 mm,3422.31 cm³,1968,1644,68085 mm,60,STR-Model,Structural Column,ST-C1 250x400x8275,Column,26.89932,Stirrup / Tie,64 mm
8 mm,1135 mm,3422.31 cm³,1968,1644,68085 mm,60,STR-Model,Structural Column,ST-C1 250x400x8275,Column,26.89932,Stirrup / Tie,64 mm
8 mm,1135 mm,570.38 cm³,1999,1857,11347 mm,10,STR-Model,Structural Framing,TB1,Beam,4.48322,Stirrup / Tie,64 mm
8 mm,1135 mm,3422.31 cm³,1968,1644,68085 mm,60,STR-Model,Structural Column,ST-C1 250x400x8275,Column,26.89932,Stirrup / Tie,64 mm
8 mm,1135 mm,684.46 cm³,1999,1857,13617 mm,12,STR-Model,Structural Framing,TB1,Beam,5.379864,Stirrup / Tie,64 mm
8 mm,1135 mm,798.54 cm³,1999,1857,15886 mm,14,STR-Model,Structural Framing,TB1,Beam,6.276508,Stirrup / Tie,64 mm
8 mm,1135 mm,798.54 cm³,1999,1857,15886 mm,14,STR-Model,Structural Framing,TB1,Beam,6.276508,Stirrup / Tie,64 mm
8 mm,1135 mm,684.46 cm³,1999,1857,13617 mm,12,STR-Model,Structural Framing,TB1,Beam,5.379864,Stirrup / Tie,64 mm
8 mm,1135 mm,3194.15 cm³,1968,1644,63546 mm,56,STR-Model,Structural Column,ST-C1 250x400x8275,Column,25.106032,Stirrup / Tie,64 mm
8 mm,1135 mm,3194.15 cm³,1968,1644,63546 mm,56,STR-Model,Structural Column,ST-C1 250x400x8275,Column,25.106032,Stirrup / Tie,64 mm
8 mm,1135 mm,3194.15 cm³,1968,1644,63546 mm,56,STR-Model,Structural Column,ST-C1 250x400x8275,Column,25.106032,Stirrup / Tie,64 mm
8 mm,1135 mm,3194.15 cm³,1968,1644,63546 mm,56,STR-Model,Structural Column,ST-C1 250x400x8275,Column,25.106032,Stirrup / Tie,64 mm
8 mm,837 mm,1977.58 cm³,2646,2675,39343 mm,47,STR-Model,Wall,,CT-UPSTAND,15.543794,Stirrup / Tie,32 mm
8 mm,837 mm,1977.58 cm³,2646,2675,39343 mm,47,STR-Model,Wall,,CT-UPSTAND,15.543794,Stirrup / Tie,32 mm
8 mm,1135 mm,513.35 cm³,1752,1644,10213 mm,9,STR-Model,Structural Framing,B 250X400,Beam,4.034898,Stirrup / Tie,64 mm
8 mm,2155 mm,866.47 cm³,3418,3349,17238 mm,8,STR-Model,Structural Column,,shaded foundation,6.810483,Stirrup / Tie,64 mm
8 mm,1155 mm,232.17 cm³,3424,3355,4619 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.824895,Stirrup / Tie,64 mm
8 mm,955 mm,192.10 cm³,3423,3354,3822 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.509928,Stirrup / Tie,64 mm
8 mm,1155 mm,232.17 cm³,3424,3355,4619 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.824895,Stirrup / Tie,64 mm
8 mm,955 mm,191.96 cm³,3515,3456,3819 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.508826,Stirrup / Tie,64 mm
8 mm,1155 mm,232.17 cm³,3424,3355,4619 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.824895,Stirrup / Tie,64 mm
8 mm,955 mm,192.10 cm³,3423,3354,3822 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.509928,Stirrup / Tie,64 mm
8 mm,1155 mm,232.17 cm³,3424,3355,4619 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.824895,Stirrup / Tie,64 mm
8 mm,955 mm,192.10 cm³,3423,3354,3822 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.509928,Stirrup / Tie,64 mm
8 mm,1155 mm,232.17 cm³,3424,3355,4619 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.824895,Stirrup / Tie,64 mm
8 mm,955 mm,192.10 cm³,3423,3354,3822 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.509928,Stirrup / Tie,64 mm
8 mm,1155 mm,348.26 cm³,3424,3355,6928 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.737342,Stirrup / Tie,64 mm
8 mm,955 mm,288.15 cm³,3423,3354,5733 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.264893,Stirrup / Tie,64 mm
8 mm,2655 mm,800.65 cm³,3441,3371,15928 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,6.293123,Stirrup / Tie,64 mm
8 mm,975 mm,293.98 cm³,3531,3476,5848 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.310649,Stirrup / Tie,64 mm
